feature,importance
PC_FractionCSP3,0.1019394818263704
GC_Sum,0.07662074107957294
PC_HeavyAtomCount,0.06929692672420056
QED_HBA,0.06576207347971104
PC_NumAtoms,0.06373156972652033
PC_MolWt,0.06108273622385505
QED_MW,0.055546299890146304
GC_Min,0.05401372346785901
GC_Mean,0.0516794572848203
PC_HBD,0.049587142813056095
QED_ALOGP,0.04403555363873053
QED_PSA,0.041140010761035434
PC_HBA,0.040012872675901076
PC_LogP,0.036803152369573475
PC_RotB,0.03493584885558021
PC_RigidityProxy,0.033371180861860944
PC_TPSA,0.02822103914119272
GC_Std,0.026491166574032814
QED_HBD,0.01862207219751362
QED_ROTB,0.016395460810176527
QED_AROM,0.015331637602049473
GC_Max,0.007704878614296002
PC_Rings,0.007674973381945165
QED_ALERTS,0.0
