feature,importance
PC_RigidityProxy,0.0989010989010989
PC_NumAtoms,0.07692307692307693
QED_ALOGP,0.06593406593406594
QED_HBA,0.06593406593406594
PC_RotB,0.06593406593406594
PC_HBA,0.06593406593406594
QED_PSA,0.06593406593406594
GC_Sum,0.06593406593406594
QED_MW,0.054945054945054944
GC_Mean,0.054945054945054944
QED_ROTB,0.054945054945054944
QED_HBD,0.04395604395604396
GC_Std,0.04395604395604396
PC_HeavyAtomCount,0.04395604395604396
PC_MolWt,0.03296703296703297
PC_TPSA,0.03296703296703297
PC_LogP,0.02197802197802198
PC_FractionCSP3,0.02197802197802198
GC_Min,0.01098901098901099
PC_HBD,0.01098901098901099
QED_ALERTS,0.0
QED_AROM,0.0
PC_Rings,0.0
GC_Max,0.0
