feature,importance
GC_Mean,0.110040238055549
PC_LogP,0.08565548909257928
QED_ALOGP,0.07547354078180833
QED_MW,0.058520119755477135
QED_PSA,0.05824572860161581
QED_ALERTS,0.056796018566167464
PC_HBA,0.056126073667386936
PC_MolWt,0.054912398494547876
GC_Sum,0.05127095910707328
PC_TPSA,0.04971363968424043
GC_Std,0.047857391358589095
PC_RigidityProxy,0.03781683185782867
QED_ROTB,0.03437045463232739
PC_NumAtoms,0.033312994764364556
QED_HBA,0.03146718886715633
PC_HeavyAtomCount,0.030192988281657954
PC_FractionCSP3,0.026854442167441896
GC_Max,0.026129543411472046
PC_RotB,0.023623126000565403
PC_HBD,0.02179289786908078
GC_Min,0.014173421539461113
QED_HBD,0.013734998425708324
PC_Rings,0.0017118246285496436
QED_AROM,0.00020769038935129061
