feature,importance
PC_HBA,0.44055197
GC_Min,0.08591981
QED_ALOGP,0.065560445
PC_FractionCSP3,0.06512874
GC_Mean,0.053025607
PC_RigidityProxy,0.041532792
QED_HBA,0.040258937
GC_Std,0.034319088
GC_Max,0.03373726
QED_MW,0.033529717
QED_ALERTS,0.028646734
GC_Sum,0.025837386
QED_PSA,0.022530781
QED_ROTB,0.02020256
PC_HeavyAtomCount,0.009218217
QED_HBD,0.0
QED_AROM,0.0
PC_RotB,0.0
PC_Rings,0.0
PC_HBD,0.0
PC_MolWt,0.0
PC_LogP,0.0
PC_TPSA,0.0
PC_NumAtoms,0.0
