feature,importance
PC_LogP,0.08352499299977119
PC_FractionCSP3,0.07895041042174436
PC_MolWt,0.06683837939068987
QED_MW,0.06552043505727922
GC_Mean,0.06304799960048982
GC_Std,0.06071749507932872
GC_Sum,0.05674449726535888
QED_ALOGP,0.050546553948866445
PC_NumAtoms,0.04935530445275055
PC_RigidityProxy,0.04813288055007881
PC_HBA,0.04130149701317231
QED_PSA,0.03935086178487724
QED_HBA,0.03615096877181414
QED_ROTB,0.03492149152508865
GC_Min,0.033854372011604184
PC_TPSA,0.030177073594503553
PC_RotB,0.02807554859517961
GC_Max,0.026082708166151106
PC_HeavyAtomCount,0.02432882459482537
QED_ALERTS,0.023321113898260838
PC_Rings,0.019559593942579823
QED_AROM,0.015580873787583467
QED_HBD,0.01248947720513511
PC_HBD,0.011426646342866711
