feature,importance
GC_Sum,0.026291071992725908
PC_LogP,0.021333368478890707
Morgan_548,0.021266431552690535
Avalon_213,0.01931013428729205
PC_NumAtoms,0.019304812688838706
PC_HeavyAtomCount,0.019130611807437272
QED_PSA,0.01762311487059152
Avalon_275,0.01705949479200854
PC_MolWt,0.016339066339061712
QED_MW,0.016165631873698034
PC_TPSA,0.01584635245945381
QED_ALOGP,0.015115896225473257
Avalon_384,0.014992331855391072
Morgan_897,0.014629965547454075
PC_HBA,0.014188700908407566
QED_ALERTS,0.013089943504220483
PC_RigidityProxy,0.012403316886820817
PC_FractionCSP3,0.011670349271305091
Avalon_233,0.011663211873225178
Avalon_402,0.011548524892993978
GC_Std,0.011378912036340042
GC_Mean,0.010141615502113673
QED_ROTB,0.010010572582668555
PC_HBD,0.009974766383327118
QED_HBA,0.009354009714233379
Avalon_24,0.009016211801861022
PC_RotB,0.008533618558234073
Morgan_941,0.008407999248246714
Morgan_770,0.008373063058731372
Morgan_203,0.008258998171248616
Morgan_935,0.008000501331051065
Morgan_791,0.007639224565399445
Morgan_428,0.0071707793568190036
Morgan_435,0.007127116805463835
Morgan_956,0.007117954252140878
Morgan_20,0.007021173490538424
Morgan_695,0.006978917956611747
Avalon_448,0.006912051692406953
Morgan_734,0.006771255787768537
Morgan_363,0.006589234779026455
Morgan_13,0.006279282528663924
Avalon_292,0.006250321866619097
Avalon_209,0.0060508838765604605
GC_Min,0.005394280601085278
GC_Max,0.005278725110555305
QED_HBD,0.00524506025798011
Avalon_296,0.005027750296381532
Avalon_394,0.004795993591883194
Avalon_204,0.004760603141506825
Morgan_12,0.004750501923910605
Avalon_26,0.004710535267053954
Morgan_950,0.004626117538433951
Morgan_218,0.004577102214092961
Avalon_369,0.00457354228641502
Morgan_510,0.004541847568934908
Morgan_966,0.0044371897308806895
Morgan_62,0.004390837119877022
Avalon_231,0.004283908767332
PC_Rings,0.0042768408568100835
Avalon_406,0.004158662770256101
Morgan_374,0.004073145179161376
Avalon_477,0.004000327066948873
Morgan_483,0.003994486834892898
Morgan_338,0.003992078161511735
Morgan_926,0.0039238827979508435
Avalon_19,0.003879365706803529
Morgan_707,0.0038776736190834758
Morgan_512,0.003837339676468237
Morgan_81,0.0037976313777927794
Avalon_390,0.0037079481518834537
Avalon_223,0.0037014445823412546
Avalon_140,0.00366849941748825
Avalon_118,0.003499242276728991
Morgan_857,0.0034422147869302964
Morgan_960,0.003403737993447229
Avalon_278,0.00333507755160388
Morgan_718,0.003315336736638638
Morgan_164,0.0032883189002384894
Morgan_841,0.0032503640715185597
Avalon_73,0.003233068655648573
Morgan_853,0.0032316034893578654
Morgan_126,0.0031661760820179178
Avalon_411,0.003107909931609903
QED_AROM,0.00303415576522397
Avalon_409,0.0030298088168414067
Morgan_36,0.0029563408781143933
Morgan_5,0.002909864841022156
Morgan_804,0.0028913741654659625
Morgan_252,0.002850821516984333
Morgan_355,0.002771629648256787
Avalon_106,0.0026386930092199188
Morgan_102,0.002504467645199803
Morgan_698,0.0024947882221771633
Morgan_58,0.0024655358298143787
Morgan_903,0.0024324652311695553
Morgan_389,0.002343921962879986
Avalon_348,0.0023336523402806464
