feature,importance
QED_MW,0.029878534194472277
PC_MolWt,0.025445056209051305
PC_HeavyAtomCount,0.023958811477780253
PC_NumAtoms,0.02319337354150136
PC_FractionCSP3,0.021531379524594736
GC_Sum,0.019583619183878496
QED_ALERTS,0.016792116866678086
QED_ALOGP,0.016543648062177913
GC_Mean,0.01631740995401462
Avalon_223,0.01575323148430138
PC_LogP,0.015382428915058779
Morgan_616,0.01392894391463411
Avalon_296,0.013492539868774075
GC_Std,0.012988240580964603
Avalon_275,0.012560286851676225
PC_RigidityProxy,0.012355921733588012
Morgan_722,0.012283690857108344
GC_Max,0.012170394693664158
PC_TPSA,0.011072654401415276
Avalon_321,0.010621281698091093
Morgan_935,0.010497090362416492
QED_ROTB,0.010365353028242992
QED_PSA,0.010036431884064079
PC_RotB,0.008504476279052266
QED_HBD,0.008208780365916647
Avalon_325,0.008071976749140333
Avalon_427,0.008032085334497832
Avalon_213,0.007376942963087279
PC_HBD,0.0070869592557744445
Avalon_32,0.0066181012980669595
Avalon_185,0.006451952980501258
Morgan_897,0.0063807350750263855
Morgan_511,0.00614759997060434
GC_Min,0.005743552784810608
PC_Rings,0.005704280079796749
PC_HBA,0.005592736613032247
Morgan_591,0.005514456847387939
Morgan_5,0.005504210772683143
Morgan_164,0.005494968546554552
QED_HBA,0.005279508195565399
Avalon_294,0.005136826856923615
Avalon_499,0.005013145719367106
Avalon_50,0.004917656569559606
Avalon_26,0.004469779291683797
Morgan_510,0.004039733796320622
Avalon_146,0.003986624378665849
Morgan_13,0.003931760885964412
Avalon_443,0.003927742000040647
Morgan_427,0.0035861221005154065
Morgan_148,0.0035698966493328843
Morgan_294,0.0035644402293943554
Avalon_130,0.003500593087380747
Avalon_72,0.0034289914891293205
Morgan_1023,0.0033617110451654225
Avalon_24,0.0033560978788420627
Morgan_960,0.0033291538641895234
Morgan_413,0.003318411393367491
Avalon_448,0.0032965922649458783
Avalon_124,0.0032784255607593
Morgan_860,0.003270329793834707
Morgan_12,0.0032540955836414752
Avalon_109,0.003168447131432366
Avalon_300,0.0031519528355345833
Avalon_101,0.0031504415982358184
Morgan_428,0.0031205342724928225
Avalon_406,0.00306956470088501
Morgan_512,0.0030630876126320236
Morgan_334,0.0030013365165274812
Morgan_376,0.0029756925852989446
Avalon_168,0.002954005772151277
Avalon_62,0.0029144181319677386
Avalon_425,0.0029111217636585873
Morgan_791,0.0028597124271562417
Morgan_277,0.0028331495413793035
Morgan_708,0.002734037993620548
Avalon_278,0.002731034703093619
Morgan_956,0.002716188912252067
Avalon_123,0.0026934116559341574
Morgan_731,0.002689592325532142
Avalon_461,0.0026665589311833143
Morgan_58,0.0026496331168608268
Avalon_177,0.0026456176035197913
Avalon_209,0.0026434537735354285
Morgan_252,0.00263206098375539
Morgan_136,0.002615186492349363
Morgan_220,0.0025682329614623695
Avalon_277,0.0025614385443999375
Morgan_102,0.002510953696174935
Morgan_432,0.0025092555001208854
Morgan_63,0.0024941314279377813
Morgan_218,0.0024720515256086567
Morgan_363,0.0024608906154063564
Avalon_430,0.002452585352996797
Avalon_291,0.0024365327484758914
Avalon_3,0.0023675517264328465
Avalon_397,0.002351182770267734
Morgan_734,0.0023479911120090216
Morgan_203,0.002293582195196437
Morgan_213,0.002282578963041726
Morgan_766,0.002224234027935104
Morgan_384,0.002211677967619108
QED_AROM,0.0022049042336125856
Avalon_344,0.002200109471475925
Morgan_559,0.002192385142834328
Morgan_618,0.002169175654917481
Avalon_246,0.0021659608623848356
Morgan_781,0.002127571627336336
Morgan_841,0.002123213052703998
Morgan_744,0.0020992565529251586
Morgan_483,0.002088543032745041
Morgan_602,0.002079833943446153
Morgan_853,0.002076446142683635
Morgan_208,0.0020748732989107036
Morgan_284,0.0020637637927007585
Morgan_702,0.001980656686262405
Morgan_926,0.001970796685909653
Morgan_831,0.0019704397878085606
Morgan_317,0.0019591990831149117
Morgan_259,0.0019515399885161263
Avalon_129,0.0019342551429873099
Morgan_816,0.0019191592987898075
Morgan_717,0.0019112623852042662
Morgan_846,0.0019095841072616544
Morgan_389,0.0018877545668848552
Morgan_493,0.0018793498697224178
Morgan_36,0.0018181807100446509
Morgan_20,0.0018155143623403008
Morgan_736,0.0017875443565920648
Avalon_178,0.001782303605801482
Avalon_372,0.001771678147484728
Avalon_202,0.0017679654112802375
Morgan_253,0.0017444344715890723
Avalon_161,0.0017302407754276124
Morgan_1004,0.0017227308754436215
Avalon_53,0.0017223035026773536
Morgan_514,0.0017163388735312235
Morgan_263,0.0017161905981376098
Avalon_487,0.001715866929825808
Avalon_162,0.0016828274169960898
Morgan_694,0.0016577621391286655
Avalon_242,0.0016540382402650308
Morgan_608,0.0016427113794175861
Morgan_42,0.0016362948010122025
Morgan_718,0.0016341987472778328
Avalon_286,0.00163385437964886
Morgan_889,0.0016305482257778375
Avalon_292,0.0016010642723098217
Morgan_789,0.0015925389423305277
Avalon_329,0.0015913430205861936
Avalon_328,0.0015858254652173995
Morgan_26,0.0015854725511616457
Avalon_449,0.0015693451311533785
Morgan_705,0.001565763312269921
Morgan_966,0.001517651264289522
Morgan_669,0.0015076105267158352
Morgan_825,0.0015002868572271627
Morgan_290,0.0014917647805522895
Avalon_395,0.0014857113877231386
Avalon_360,0.0014838157638642027
Morgan_903,0.0014768932937162507
Morgan_47,0.0014623108249663282
Morgan_946,0.001454084747285235
Morgan_820,0.0014229672813507242
Morgan_395,0.0014058059548225845
Morgan_981,0.001395743776115965
Avalon_441,0.0013833960254280772
Avalon_33,0.0013743317713031196
Morgan_548,0.0013740933613211434
Morgan_875,0.0013692555924998797
Avalon_283,0.0013405121981881563
Morgan_93,0.0013326791750925846
Morgan_419,0.001332301955719036
Avalon_433,0.0013243715845301651
Morgan_822,0.0013243294633284305
Morgan_593,0.0013034143534368223
Avalon_99,0.0012766187646615391
Morgan_955,0.0012732619857629421
Avalon_368,0.001261872754890953
Morgan_606,0.0012606161665782468
Morgan_433,0.0012562250841518508
Avalon_324,0.0012536540717831182
Avalon_314,0.001249277797486414
Avalon_339,0.0012387867634940464
Morgan_821,0.001229079227947373
Morgan_958,0.0012263157305150336
Avalon_272,0.0012115424440309003
Morgan_306,0.001211480480052528
Morgan_695,0.0012034423948248355
Morgan_626,0.0012009997077935218
Avalon_364,0.0011870465640257623
Morgan_667,0.0011807843517936737
Avalon_330,0.0011768167079817178
Avalon_365,0.0011730231391884887
Avalon_22,0.0011685613547981124
Avalon_204,0.0011669230985071135
Morgan_852,0.0011614462672683186
Avalon_207,0.0011605862218667196
Morgan_445,0.0011580552140121206
Morgan_754,0.0011580214502038134
Morgan_634,0.0011569944979241016
Avalon_495,0.001149775760830388
Avalon_116,0.0011441544494395527
Avalon_19,0.0011387645141073793
Morgan_643,0.001138621040916285
Avalon_115,0.0011354035820104937
Avalon_143,0.001134997535291288
Morgan_707,0.0011273554918306242
Avalon_384,0.0011192158857593272
Morgan_859,0.0011095444936763054
Morgan_15,0.0011089126304760302
Avalon_206,0.0011028607815531245
Morgan_949,0.001095906591353894
Morgan_878,0.0010869015005586266
Avalon_184,0.001066195004036353
Morgan_398,0.0010433413114879716
Morgan_41,0.001034305009663879
Avalon_358,0.0010314470020963413
Morgan_713,0.0010312313538544616
Avalon_318,0.001029849728999509
Morgan_598,0.0010238973716363898
Morgan_762,0.001017172001195305
Avalon_164,0.001017100154678447
Morgan_320,0.0010089395148404111
Morgan_767,0.0009897125150491342
Morgan_494,0.00098536345465846
Morgan_435,0.0009755874887425595
Avalon_306,0.0009676036588475716
Avalon_231,0.0009561665506163587
Morgan_1007,0.0009551790735425274
Avalon_394,0.0009543339056246668
Avalon_423,0.0009472999889383139
Morgan_560,0.0009383957777959761
Avalon_133,0.0009350913483767522
Morgan_409,0.0009318874855278306
Morgan_823,0.000928834216532978
Morgan_840,0.0009259957538867001
Avalon_351,0.0009259072160383207
Morgan_490,0.0009228283453879844
Avalon_282,0.0009215322384576423
Morgan_836,0.0009192006371371249
Morgan_392,0.0009186284608657295
Morgan_685,0.0009104136757526655
Morgan_416,0.0009004030014654092
Avalon_8,0.0008965666086302491
Morgan_968,0.0008946956386612227
Morgan_114,0.0008874215620591447
Avalon_477,0.0008793493508250388
Avalon_68,0.0008686899283507563
Morgan_420,0.0008676835139279518
Avalon_122,0.000861535476005445
Morgan_475,0.0008606357894333277
Morgan_231,0.0008576004829416225
Morgan_29,0.0008547973043978564
Morgan_551,0.0008515981278122332
Morgan_994,0.0008489736038646864
Morgan_266,0.0008331876845404854
Avalon_467,0.0008319175903219374
Morgan_188,0.0008253820237291646
Morgan_578,0.0008198234180394241
Avalon_409,0.0008166713215235639
Morgan_481,0.0008145591556321332
Avalon_102,0.0008029774680016485
Avalon_405,0.0008008218177452764
Morgan_857,0.0007969337834974225
Morgan_92,0.0007964643191472973
Morgan_980,0.0007912081327223998
Morgan_794,0.0007829276027669559
Morgan_592,0.0007768684502086953
Avalon_415,0.0007756708335140818
Morgan_478,0.000769316718802247
Avalon_169,0.0007530688234111994
Avalon_491,0.000745951892445759
Morgan_848,0.0007427731247434614
Avalon_402,0.0007275485322790572
Avalon_140,0.0007217958326344232
Avalon_43,0.0007185319855772225
Morgan_544,0.0007182947668667115
Morgan_474,0.0007159110078713676
Morgan_543,0.0007143028040146699
Morgan_1006,0.0007137380887136106
Avalon_256,0.0007135147026577431
Morgan_196,0.0007086936159355625
Morgan_745,0.0007060396263422559
Avalon_2,0.0007048405170725928
Avalon_458,0.0007020322766249605
Morgan_361,0.0006996796730286986
Morgan_402,0.0006977014507123781
Morgan_335,0.0006947906600013143
Avalon_313,0.0006937920494041064
Morgan_934,0.0006893387449962062
Morgan_770,0.0006851325895712298
Avalon_383,0.0006824319430279468
Morgan_322,0.0006810507730635226
Morgan_34,0.0006730414595018787
Avalon_233,0.00066733108966208
Avalon_154,0.000656208322128109
Morgan_449,0.0006557438274400711
Avalon_348,0.0006548310437172418
Morgan_138,0.0006494895464935837
Morgan_476,0.000647438680206179
Avalon_367,0.0006387249527088873
Morgan_197,0.0006368741153420268
Morgan_719,0.0006357343753976699
Avalon_376,0.0006351823108180737
Avalon_17,0.0006349318511747901
Morgan_492,0.0006344169502763487
Avalon_507,0.0006326601057506544
Avalon_18,0.0006320245003048399
Avalon_132,0.000627764823351467
Morgan_728,0.0006275396503455407
Morgan_692,0.0006259424922329921
Morgan_160,0.0006233143444791254
Morgan_200,0.0006145419102627658
Avalon_171,0.0006125788224965267
Morgan_540,0.0006125189132139536
Morgan_520,0.0006066504684535283
Morgan_309,0.0006065178069400298
Morgan_303,0.0006064202330585355
Avalon_249,0.0006009075410014001
Avalon_287,0.0005966048503460628
Morgan_569,0.0005946754371241839
Avalon_390,0.0005795057020846025
Morgan_338,0.0005787097062411381
Morgan_249,0.0005784991576145522
Avalon_137,0.0005776091814149904
Avalon_463,0.000577052486852057
Morgan_2,0.0005732275645072805
Morgan_354,0.0005658230369095226
Morgan_804,0.0005630836086802337
Morgan_649,0.0005620885532455185
Avalon_191,0.0005597392770086729
Avalon_39,0.0005587739196041562
Avalon_31,0.0005578215724688568
Avalon_335,0.0005547791643533027
Morgan_565,0.0005499031042570935
Avalon_373,0.000540101323836276
Morgan_659,0.0005390380073204672
Morgan_884,0.0005233944502043814
Morgan_531,0.0005217864557657728
Morgan_134,0.0005213657909810876
Morgan_849,0.0005192973827432051
Avalon_377,0.0005182146622069638
Morgan_337,0.0005133209720570789
Morgan_887,0.0005125541926703004
Morgan_899,0.0005117822087416715
Morgan_16,0.000504975608465671
Morgan_236,0.0005003025639768862
Morgan_169,0.0004983350866994334
Avalon_468,0.0004941420075031087
Morgan_759,0.0004902273681262414
Morgan_985,0.0004893658962790834
Morgan_222,0.00048669006532205356
Morgan_297,0.000485560779725853
Morgan_895,0.0004844628744244485
Morgan_726,0.0004791862114363895
Morgan_636,0.00047876408643969407
Avalon_369,0.0004775872307651742
Avalon_496,0.0004751522067336129
Morgan_677,0.00047419260827178983
Avalon_47,0.00047313617703583763
Morgan_575,0.00047271430963536466
Morgan_693,0.0004716098954838879
Morgan_424,0.00047104176528673904
Avalon_331,0.00046642471355294775
Morgan_673,0.00046294060107226955
Morgan_536,0.0004621352742371891
Avalon_261,0.0004618015566251292
Morgan_793,0.0004566817953428943
Avalon_436,0.00045101998632532067
Morgan_941,0.00044981304030418466
Morgan_366,0.00044926858374344796
Morgan_890,0.00044648642945243597
Morgan_930,0.00044574116066958163
Morgan_4,0.000444168279453356
Morgan_597,0.00043729040326197515
